 parcel  t0         x0          y0              z0
   476   4980.0000  69772.5469  99372.4609     21.1997
   477   4980.0000  70982.8672  97952.4453     90.3143
   478   4980.0000  70930.1641  97733.2344     51.1262
   479   4980.0000  70992.9766  97945.8281     61.5422
   480   4980.0000  71005.1172  98163.8828     81.7786
   481   4980.0000  70892.3594  98246.2812     74.0695
   482   4980.0000  70983.1172  98273.7734     96.3297
   483   4980.0000  70896.7578  98297.4375     75.7364
   484   4980.0000  70939.7734  98419.1719    138.7976
   485   4980.0000  70916.3828  98373.6172     87.2113
   486   4980.0000  70754.2578  98239.0234     52.3793
   487   4980.0000  70865.7422  98364.7500     75.0562
   488   4980.0000  70365.5469  98176.7031     19.2288
   489   4980.0000  70804.7500  98314.1562     53.9357
   490   4980.0000  70794.8438  98555.9219    121.9952
   491   4980.0000  70863.9062  98527.3828     80.7599
   492   4980.0000  70874.8203  98573.1719     87.2146
   493   4980.0000  70905.5078  98580.9688     89.5454
   494   4980.0000  71065.9922  98118.1094     16.1317
   495   4980.0000  68860.5156 100699.6875     55.8843
   496   4980.0000  69454.5781  99336.5938      6.7543
   497   4980.0000  70946.0938  97862.4922     65.9342
   498   4980.0000  70884.4062  97685.1172     38.3066
   499   4980.0000  70980.9531  97759.3516     51.3898
   500   4980.0000  70831.3125  98108.4141     47.6857
   501   4980.0000  71009.9609  98007.0625     54.7224
   502   4980.0000  70902.0312  98143.7344     49.1344
   503   4980.0000  71048.5859  98008.4609     72.6219
   504   4980.0000  70980.9141  98139.2656     51.1818
   505   4980.0000  70788.5078  98172.2891     43.0025
   506   4980.0000  71033.8281  98182.3984     77.8295
   507   4980.0000  70979.6719  98345.3594     94.9947
   508   4980.0000  70919.5625  98260.5000     50.8753
   509   4980.0000  70916.8125  98350.8984     63.2820
   510   4980.0000  70888.8750  98472.0938     92.5679
   511   4980.0000  70824.5391  98285.5156     34.1760
   512   4980.0000  70903.0938  98417.2266     57.3266
   513   4980.0000  70810.5000  98598.8672    128.6419
   514   4980.0000  70806.6875  98229.7891     17.0862
   515   4980.0000  70928.9219  98500.8750     71.9121
   516   4980.0000  70992.0156  98419.0000     53.3620
   517   4980.0000  71027.4922  98375.6719     60.0224
   518   4980.0000  70742.4766  97975.7188      4.9162
   519   4980.0000  70997.5469  97935.0312      9.8148
   520   4980.0000  68771.8359 100294.9062     19.9179
   521   4980.0000  68739.5469 100457.6406     24.7595
   522   4980.0000  68739.8359 100450.9219     26.4523
   523   4980.0000  68787.4844 100248.1797     36.6425
   524   4980.0000  68746.8203 100394.6406     36.5600
   525   4980.0000  68806.7266 100547.5859     43.4937
   526   4980.0000  68874.0078 100696.5625     49.6334
   527   4980.0000  69961.0391  98642.7109     71.8064
   528   4980.0000  69465.0938  99247.1953      7.4083
   529   4980.0000  70937.1094  97747.7422     66.9020
   530   4980.0000  70933.9453  97916.8281     68.8206
   531   4980.0000  70763.3438  98091.7344     72.4604
   532   4980.0000  70906.4688  97754.4297     27.8632
   533   4980.0000  70946.5234  97806.1562     29.2264
   534   4980.0000  70997.0000  97858.2500     34.6126
   535   4980.0000  71052.5000  97945.0703     52.6804
   536   4980.0000  71030.8203  98130.6406     45.2385
